Compute Information
-------------------
          Project ID     Allocation          Usage     % used       High     % high
          ----------     ----------          -----     ------       ----     ------
          pawsey0420        1875000        1622624       86.5          0        0.0
             --yliu6                          1261        0.1          0        0.0
        --rmunaweera                             2        0.0          0        0.0
           --psutton                         30255        1.6          0        0.0
              --yhao                         16404        0.9          0        0.0
             --aks19                       1473275       78.6          0        0.0
               --yfu                        101425        5.4          0        0.0
      pawsey0420-gpu        1600000         663702       41.5          0        0.0
               --ada                        134866        8.4          0        0.0
        --rmunaweera                          4435        0.3          0        0.0
              --yhao                         96796        6.0          0        0.0
               --yfu                        293559       18.3          0        0.0
           --psutton                         50402        3.2          0        0.0
             --aks19                         83642        5.2          0        0.0
