Compute Information
-------------------
          Project ID     Allocation          Usage     % used       High     % high
          ----------     ----------          -----     ------       ----     ------
          pawsey0420        1875000        1769140       94.4          0        0.0
             --yliu6                          1272        0.1          0        0.0
        --rmunaweera                             2        0.0          0        0.0
           --psutton                         30255        1.6          0        0.0
              --yhao                         16404        0.9          0        0.0
             --aks19                       1619781       86.4          0        0.0
               --yfu                        101425        5.4          0        0.0
      pawsey0420-gpu        1600000         725191       45.3          0        0.0
               --ada                        180920       11.3          0        0.0
        --rmunaweera                          4435        0.3          0        0.0
              --yhao                         96796        6.0          0        0.0
               --yfu                        293559       18.3          0        0.0
           --psutton                         50402        3.2          0        0.0
             --aks19                         99076        6.2          0        0.0
