Compute Information
-------------------
          Project ID     Allocation          Usage     % used       High     % high
          ----------     ----------          -----     ------       ----     ------
          pawsey0420        1875000        1532128       81.7          0        0.0
             --yliu6                            78        0.0          0        0.0
        --rmunaweera                             1        0.0          0        0.0
           --psutton                         30255        1.6          0        0.0
              --yhao                         16404        0.9          0        0.0
             --aks19                       1415433       75.5          0        0.0
               --yfu                         69956        3.7          0        0.0
      pawsey0420-gpu        1600000         322109       20.1          0        0.0
        --rmunaweera                          4435        0.3          0        0.0
               --yfu                        140283        8.8          0        0.0
              --yhao                         85220        5.3          0        0.0
           --psutton                         50402        3.2          0        0.0
             --aks19                         41767        2.6          0        0.0
