Compute Information
-------------------
          Project ID     Allocation          Usage     % used       High     % high
          ----------     ----------          -----     ------       ----     ------
          pawsey0420        1875000        1517745       80.9          0        0.0
             --yliu6                            13        0.0          0        0.0
        --rmunaweera                             1        0.0          0        0.0
           --psutton                         30255        1.6          0        0.0
              --yhao                         16404        0.9          0        0.0
             --aks19                       1415433       75.5          0        0.0
               --yfu                         55637        3.0          0        0.0
      pawsey0420-gpu        1600000         242076       15.1          0        0.0
        --rmunaweera                          4435        0.3          0        0.0
               --yfu                        102621        6.4          0        0.0
              --yhao                         42849        2.7          0        0.0
           --psutton                         50402        3.2          0        0.0
             --aks19                         41767        2.6          0        0.0
