Compute Information
-------------------
          Project ID     Allocation          Usage     % used       High     % high
          ----------     ----------          -----     ------       ----     ------
          pawsey0420        1875000        1525896       81.4          0        0.0
             --yliu6                            78        0.0          0        0.0
        --rmunaweera                             1        0.0          0        0.0
           --psutton                         30255        1.6          0        0.0
              --yhao                         16404        0.9          0        0.0
             --aks19                       1415433       75.5          0        0.0
               --yfu                         63724        3.4          0        0.0
      pawsey0420-gpu        1600000         294344       18.4          0        0.0
        --rmunaweera                          4435        0.3          0        0.0
               --yfu                        126895        7.9          0        0.0
              --yhao                         70843        4.4          0        0.0
           --psutton                         50402        3.2          0        0.0
             --aks19                         41767        2.6          0        0.0
