Compute Information
-------------------
          Project ID     Allocation          Usage     % used       High     % high
          ----------     ----------          -----     ------       ----     ------
          pawsey0420        1875000        1558114       83.1          0        0.0
             --yliu6                           939        0.1          0        0.0
        --rmunaweera                             1        0.0          0        0.0
           --psutton                         30255        1.6          0        0.0
              --yhao                         16404        0.9          0        0.0
             --aks19                       1415433       75.5          0        0.0
               --yfu                         95080        5.1          0        0.0
      pawsey0420-gpu        1600000         393497       24.6          0        0.0
               --ada                          4413        0.3          0        0.0
        --rmunaweera                          4435        0.3          0        0.0
              --yhao                         96796        6.0          0        0.0
               --yfu                        195681       12.2          0        0.0
           --psutton                         50402        3.2          0        0.0
             --aks19                         41767        2.6          0        0.0
